Time,WH,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2021/2/21 12:00,6456,1007.6,1017.6,24.1,5.0,29.0,2.4,220.0,5.9,180.0,0.0,0.0,1.0,3.17,15.0,8.0,5.0
2021/2/21 13:00,8864,1007.0,1017.0,24.1,4.0,27.0,1.7,230.0,6.2,160.0,0.0,0.0,1.0,2.88,15.0,6.0,5.0
2021/2/21 14:00,5625,1006.3,1016.3,24.0,3.9,27.0,2.0,240.0,6.0,240.0,0.0,0.0,1.0,2.34,15.0,4.0,0.0
2021/2/21 15:00,6750,1006.5,1016.5,23.0,0.2,22.0,1.4,270.0,6.1,260.0,0.0,0.0,1.0,1.68,15.0,2.0,0.0
2021/2/21 16:00,6490,1006.9,1016.9,21.7,-0.9,22.0,1.7,260.0,5.3,270.0,0.0,0.0,1.0,0.9,15.0,1.0,0.0
2021/2/21 17:00,1200,1006.9,1017.0,20.1,2.0,30.0,0.9,260.0,3.4,260.0,0.0,0.0,0.6,0.17,12.0,0.0,0.0
2021/2/22 06:00,234,1007.6,1017.9,13.1,7.6,69.0,0.4,160.0,1.3,160.0,0.0,0.0,0.0,0.03,12.0,0.0,0.0
2021/2/22 07:00,4759,1007.7,1017.9,15.9,7.7,58.0,0.3,160.0,1.0,140.0,0.0,0.0,0.6,0.49,12.0,0.0,0.0
2021/2/22 08:00,10547,1007.8,1017.9,18.9,8.0,49.0,0.2,0.0,1.8,180.0,0.0,0.0,1.0,1.43,12.0,2.0,0.0
2021/2/22 09:00,10752,1008.0,1018.0,22.3,8.1,40.0,0.9,200.0,2.4,180.0,0.0,0.0,1.0,2.16,15.0,4.0,0.0
2021/2/22 10:00,7696,1007.4,1017.4,24.0,5.9,31.0,0.9,220.0,3.0,250.0,0.0,0.0,1.0,2.75,15.0,6.0,0.0
2021/2/22 11:00,6702,1006.4,1016.3,24.9,8.4,35.0,1.5,280.0,3.5,240.0,0.0,0.0,1.0,3.11,15.0,8.0,0.0
2021/2/22 12:00,6431,1005.4,1015.3,25.8,9.6,36.0,2.0,220.0,4.3,260.0,0.0,0.0,1.0,3.16,15.0,8.0,0.0
2021/2/22 13:00,8510,1004.9,1014.8,26.1,11.9,41.0,2.0,260.0,5.5,250.0,0.0,0.0,1.0,2.9,15.0,7.0,0.0
2021/2/22 14:00,6522,1004.3,1014.2,26.4,10.6,37.0,1.4,320.0,5.0,260.0,0.0,0.0,1.0,2.4,12.0,5.0,0.0
2021/2/22 15:00,8991,1004.1,1014.0,25.3,10.8,40.0,1.5,340.0,4.2,340.0,0.0,0.0,1.0,1.69,12.0,2.0,0.0
2021/2/22 16:00,6263,1004.3,1014.2,24.2,11.6,45.0,2.5,350.0,5.5,350.0,0.0,0.0,1.0,0.87,12.0,1.0,0.0
2021/2/22 17:00,1147,1004.8,1014.8,22.1,12.1,53.0,2.1,340.0,5.7,340.0,0.0,0.0,0.6,0.17,20.0,0.0,2.0
2021/2/23 06:00,299,1005.8,1016.0,16.4,12.4,77.0,0.6,130.0,1.7,160.0,0.0,0.0,0.0,0.04,20.0,0.0,2.0
2021/2/23 07:00,5105,1006.1,1016.2,18.3,12.1,67.0,0.8,310.0,2.5,350.0,0.0,0.0,0.5,0.58,20.0,0.0,2.0
2021/2/23 08:00,10431,1006.1,1016.2,20.8,12.5,59.0,1.0,10.0,3.1,360.0,0.0,0.0,0.8,1.36,20.0,2.0,8.0
2021/2/23 09:00,7169,1005.9,1015.9,23.4,13.6,54.0,1.2,260.0,3.1,240.0,0.0,0.0,0.5,1.37,20.0,3.0,9.0
2021/2/23 10:00,8804,1005.4,1015.3,24.0,13.9,53.0,1.5,240.0,3.4,300.0,0.0,0.0,0.5,1.99,20.0,5.0,9.0
2021/2/23 11:00,5478,1004.6,1014.5,25.4,13.3,47.0,1.4,350.0,5.2,340.0,0.0,0.0,0.5,2.4,15.0,7.0,6.0
2021/2/23 12:00,8243,1003.4,1013.2,26.6,16.8,55.0,1.9,280.0,5.4,280.0,0.0,0.0,1.0,3.17,15.0,8.0,6.0
2021/2/23 13:00,6490,1002.3,1012.1,26.9,16.5,53.0,2.4,350.0,5.2,340.0,0.0,0.0,1.0,2.89,15.0,7.0,6.0
2021/2/23 14:00,4550,1001.9,1011.8,25.6,16.8,58.0,2.7,360.0,7.1,30.0,0.0,0.0,0.9,2.29,10.0,5.0,3.0
2021/2/23 15:00,6145,1001.7,1011.6,23.0,16.1,65.0,2.8,350.0,7.7,10.0,0.0,0.0,1.0,1.62,10.0,2.0,3.0
2021/2/23 16:00,4953,1002.0,1012.0,21.3,15.8,71.0,2.7,350.0,8.1,310.0,0.0,0.0,0.8,0.78,10.0,1.0,3.0
2021/2/23 17:00,1025,1002.4,1012.5,19.6,15.5,77.0,2.5,340.0,6.5,360.0,0.0,0.0,0.5,0.18,8.0,0.0,5.0
2021/2/24 06:00,41,1005.0,1015.1,18.0,16.2,89.0,1.6,360.0,4.3,20.0,0.0,0.0,0.0,0.02,8.0,0.0,5.0
2021/2/24 07:00,1861,1005.3,1015.4,18.6,16.2,86.0,1.1,340.0,3.6,360.0,0.0,0.0,0.0,0.24,8.0,0.0,5.0
2021/2/24 08:00,5215,1005.6,1015.7,20.2,16.5,79.0,0.8,250.0,3.1,250.0,0.0,0.0,0.2,0.69,9.0,1.0,4.0
2021/2/24 09:00,7053,1005.6,1015.7,20.8,16.4,76.0,1.6,320.0,4.9,350.0,0.0,0.0,0.9,1.76,9.0,4.0,3.0
2021/2/24 10:00,7698,1004.7,1014.7,22.5,16.5,69.0,1.9,290.0,4.7,360.0,0.0,0.0,1.0,2.64,9.0,6.0,3.0
2021/2/24 11:00,6692,1003.8,1013.7,23.4,16.7,66.0,1.7,320.0,4.8,350.0,0.0,0.0,1.0,3.02,10.0,8.0,0.0
2021/2/24 12:00,7525,1002.7,1012.6,24.1,16.4,62.0,2.2,10.0,6.3,30.0,0.0,0.0,1.0,3.12,10.0,8.0,0.0
2021/2/24 13:00,9333,1001.6,1011.5,23.8,16.6,64.0,2.6,340.0,6.3,350.0,0.0,0.0,1.0,2.92,10.0,7.0,0.0
2021/2/24 14:00,10419,1001.1,1011.0,23.7,16.3,63.0,2.0,360.0,5.7,360.0,0.0,0.0,1.0,2.43,10.0,5.0,0.0
2021/2/24 15:00,9625,1001.0,1011.0,22.2,16.3,69.0,2.9,10.0,5.9,340.0,0.0,0.0,1.0,1.75,10.0,3.0,0.0
2021/2/24 16:00,6606,1001.0,1011.0,21.6,16.4,72.0,2.1,350.0,4.9,30.0,0.0,0.0,1.0,0.92,10.0,1.0,0.0
2021/2/24 17:00,1146,1001.5,1011.5,20.1,16.2,78.0,1.7,340.0,4.1,340.0,0.0,0.0,0.3,0.16,3.0,0.0,0.0
2021/2/25 06:00,357,1001.9,1012.0,18.5,17.0,91.0,1.1,200.0,2.6,180.0,0.0,0.0,0.0,0.06,3.0,0.0,0.0
2021/2/25 07:00,3601,1001.8,1011.9,19.2,17.2,88.0,0.9,200.0,2.7,200.0,0.0,0.0,0.4,0.47,3.0,0.0,0.0
2021/2/25 08:00,10711,1001.9,1011.9,21.2,17.4,79.0,1.0,200.0,3.1,240.0,0.0,0.0,1.0,1.34,5.0,2.0,0.0
2021/2/25 09:00,16592,1002.0,1011.9,24.5,17.5,65.0,1.2,230.0,3.1,240.0,0.0,0.0,1.0,2.09,6.0,4.0,9.0
2021/2/25 10:00,12826,1002.2,1012.1,24.7,17.9,66.0,2.8,260.0,6.0,230.0,0.0,0.0,0.7,2.21,6.0,5.0,9.0
2021/2/25 11:00,7998,1001.4,1011.3,24.3,18.3,69.0,0.9,280.0,6.1,260.0,0.0,0.0,0.8,2.81,12.0,7.0,4.0
2021/2/25 12:00,9658,1000.6,1010.5,24.9,17.4,63.0,1.6,200.0,5.1,240.0,0.0,0.0,0.6,2.56,12.0,7.0,4.0
2021/2/25 13:00,8447,999.7,1009.5,26.1,17.5,59.0,1.9,210.0,5.6,210.0,0.0,0.0,0.7,2.63,12.0,7.0,4.0
2021/2/25 14:00,7831,999.0,1008.8,26.2,15.9,53.0,2.2,230.0,5.3,240.0,0.0,0.0,0.7,1.95,12.0,4.0,8.0
2021/2/25 15:00,5961,999.4,1009.3,24.5,17.0,63.0,2.2,250.0,5.8,220.0,0.0,0.0,0.6,1.38,12.0,2.0,8.0
2021/2/25 16:00,4534,999.7,1009.6,23.8,16.6,64.0,1.7,10.0,3.2,260.0,0.0,0.0,0.2,0.57,12.0,1.0,8.0
2021/2/25 17:00,933,999.7,1009.6,22.2,16.3,69.0,1.4,320.0,3.3,290.0,0.0,0.0,0.0,0.12,15.0,0.0,0.0
2021/2/26 06:00,193,1000.1,1010.2,19.2,16.4,84.0,0.3,150.0,1.3,130.0,0.0,0.0,0.0,0.04,15.0,0.0,0.0
2021/2/26 07:00,3544,1001.1,1011.1,21.1,16.1,73.0,1.5,20.0,2.9,10.0,0.0,0.0,0.6,0.47,15.0,0.0,0.0
2021/2/26 08:00,8387,1001.3,1011.2,22.7,16.3,67.0,0.4,80.0,2.3,330.0,0.0,0.0,1.0,1.23,12.0,2.0,0.0
2021/2/26 09:00,10630,1001.1,1010.9,25.5,16.9,59.0,0.9,270.0,2.8,260.0,0.0,0.0,1.0,1.97,18.0,3.0,0.0
2021/2/26 10:00,7392,1000.2,1010.0,27.5,17.1,53.0,0.9,300.0,3.3,240.0,0.0,0.0,1.0,2.61,18.0,6.0,0.0
2021/2/26 11:00,6328,999.4,1009.2,27.6,16.6,51.0,1.7,250.0,4.5,10.0,0.0,0.0,1.0,2.94,15.0,7.0,0.0
2021/2/26 12:00,8648,999.1,1008.9,27.1,17.0,54.0,2.5,360.0,6.1,350.0,0.0,0.0,0.5,2.12,15.0,6.0,0.0
2021/2/26 13:00,6268,998.6,1008.4,27.2,16.8,53.0,2.0,340.0,6.5,360.0,0.0,0.0,0.6,2.37,15.0,5.0,0.0
2021/2/26 14:00,7139,998.5,1008.3,26.8,16.7,54.0,1.4,320.0,5.6,360.0,0.0,0.0,0.3,1.51,15.0,3.0,9.0
2021/2/26 15:00,5202,998.3,1008.1,25.5,16.4,57.0,2.8,10.0,5.0,10.0,0.0,0.0,0.0,0.71,15.0,1.0,9.0
2021/2/26 16:00,3869,999.1,1009.0,23.3,17.8,71.0,2.7,340.0,6.1,360.0,0.0,0.0,0.1,0.48,15.0,0.0,9.0
2021/2/26 17:00,926,999.3,1009.3,21.1,17.3,79.0,1.6,30.0,7.4,350.0,0.0,0.0,0.0,0.14,10.0,0.0,9.0
2021/2/27 06:00,65,1003.4,1013.5,17.4,14.7,84.0,1.2,350.0,4.3,330.0,0.0,0.2,0.0,0.02,10.0,0.0,9.0
2021/2/27 07:00,2100,1004.7,1014.9,17.5,14.4,82.0,2.1,360.0,5.4,340.0,0.0,0.0,0.0,0.28,10.0,0.0,9.0
2021/2/27 08:00,4637,1005.3,1015.4,18.1,14.4,79.0,1.6,320.0,4.1,360.0,0.0,0.0,0.0,0.54,10.0,1.0,10.0
2021/2/27 09:00,4087,1005.7,1015.8,18.7,14.6,77.0,1.7,360.0,5.6,20.0,0.0,0.0,0.0,0.48,10.0,1.0,10.0
2021/2/27 10:00,6068,1005.3,1015.4,19.0,14.7,76.0,1.5,20.0,4.8,310.0,0.0,0.0,0.0,0.71,10.0,2.0,10.0
2021/2/27 11:00,10578,1004.6,1014.7,20.2,14.8,71.0,1.2,360.0,5.2,300.0,0.0,0.0,0.0,1.14,10.0,3.0,0.0
2021/2/27 12:00,6937,1003.7,1013.7,22.0,15.1,65.0,2.4,340.0,5.3,20.0,0.0,0.0,0.7,2.51,10.0,7.0,0.0
2021/2/27 13:00,7385,1002.7,1012.7,22.5,15.1,63.0,2.2,340.0,5.6,330.0,0.0,0.0,1.0,2.82,10.0,7.0,0.0
2021/2/27 14:00,13693,1002.5,1012.4,23.1,15.4,62.0,2.5,340.0,7.7,300.0,0.0,0.0,1.0,2.21,10.0,4.0,6.0
2021/2/27 15:00,11861,1002.5,1012.5,21.2,15.1,68.0,2.2,340.0,6.8,10.0,0.0,0.0,1.0,1.6,10.0,2.0,6.0
2021/2/27 16:00,5213,1003.5,1013.6,19.0,14.5,75.0,2.6,320.0,7.1,340.0,0.0,0.0,0.6,0.71,10.0,1.0,6.0
2021/2/27 17:00,1184,1003.5,1013.6,18.7,14.4,76.0,2.1,350.0,7.0,350.0,0.0,0.0,0.2,0.17,20.0,0.0,7.0
2021/2/28 06:00,285,1006.6,1016.8,17.1,14.4,84.0,0.8,330.0,3.2,360.0,0.0,0.0,0.0,0.05,20.0,0.0,7.0
2021/2/28 07:00,4044,1007.0,1017.2,18.3,14.8,80.0,0.3,250.0,2.2,310.0,0.0,0.0,0.5,0.56,20.0,0.0,7.0
2021/2/28 08:00,9808,1007.4,1017.5,20.0,15.2,74.0,0.6,360.0,2.3,260.0,0.0,0.0,0.8,1.22,20.0,2.0,2.0
2021/2/28 09:00,13717,1007.3,1017.3,22.0,15.6,67.0,0.9,240.0,2.5,270.0,0.0,0.0,1.0,2.03,20.0,4.0,5.0
2021/2/28 10:00,16461,1007.0,1017.0,23.6,16.2,63.0,1.1,340.0,4.1,250.0,0.0,0.0,0.6,2.11,20.0,5.0,5.0
2021/2/28 11:00,9581,1006.3,1016.2,24.5,15.7,58.0,1.4,300.0,5.1,330.0,0.0,0.0,0.7,2.51,15.0,6.0,0.0
2021/2/28 12:00,6680,1005.5,1015.4,25.1,15.7,56.0,1.7,330.0,6.1,20.0,0.0,0.0,1.0,2.96,15.0,7.0,0.0
2021/2/28 13:00,7170,1004.4,1014.3,25.6,15.3,53.0,1.3,270.0,4.7,320.0,0.0,0.0,1.0,2.75,15.0,6.0,0.0
2021/2/28 14:00,5784,1003.6,1013.4,26.5,15.0,49.0,0.8,200.0,3.9,20.0,0.0,0.0,1.0,2.25,18.0,4.0,0.0
2021/2/28 15:00,8353,1003.6,1013.4,26.4,15.8,52.0,1.6,220.0,3.7,280.0,0.0,0.0,1.0,1.56,18.0,2.0,0.0
2021/2/28 16:00,5407,1004.2,1014.2,22.9,15.8,64.0,2.2,330.0,5.4,310.0,0.0,0.0,1.0,0.77,18.0,1.0,0.0
2021/2/28 17:00,1117,1004.4,1014.4,21.8,15.7,68.0,1.4,340.0,3.6,340.0,0.0,0.0,0.4,0.16,5.0,0.0,9.0
2021/3/1 06:00,147,1007.0,1017.1,18.7,16.3,86.0,0.3,360.0,1.4,150.0,0.0,0.0,0.0,0.03,5.0,0.0,9.0
2021/3/1 07:00,2063,1007.8,1017.9,20.4,16.4,78.0,0.3,180.0,1.0,190.0,0.0,0.0,0.0,0.3,5.0,0.0,9.0
2021/3/1 08:00,6688,1008.4,1018.4,21.9,16.9,73.0,0.2,0.0,2.3,160.0,0.0,0.0,0.0,0.85,10.0,1.0,9.0
2021/3/1 09:00,11236,1008.3,1018.3,24.1,16.4,62.0,1.9,340.0,3.7,20.0,0.0,0.0,0.4,1.54,10.0,3.0,8.0
2021/3/1 10:00,17921,1007.9,1017.8,25.9,16.5,56.0,2.3,330.0,4.7,360.0,0.0,0.0,1.0,2.52,10.0,5.0,8.0
2021/3/1 11:00,7708,1007.1,1016.9,27.5,16.5,51.0,2.1,360.0,6.0,360.0,0.0,0.0,1.0,2.93,15.0,7.0,5.0
2021/3/1 12:00,7109,1006.3,1016.1,27.3,16.9,53.0,1.5,330.0,4.2,30.0,0.0,0.0,1.0,2.95,15.0,8.0,5.0
2021/3/1 13:00,7460,1005.4,1015.2,27.5,16.8,52.0,1.5,300.0,4.9,360.0,0.0,0.0,0.8,2.49,15.0,6.0,5.0
2021/3/1 14:00,8076,1004.9,1014.7,27.5,17.1,53.0,2.0,250.0,4.6,240.0,0.0,0.0,0.6,1.81,15.0,4.0,9.0
2021/3/1 15:00,11186,1004.8,1014.6,26.8,16.7,54.0,1.3,280.0,7.1,220.0,0.0,0.0,0.7,1.47,15.0,2.0,9.0
2021/3/1 16:00,4393,1004.8,1014.7,25.7,16.6,57.0,1.1,270.0,5.5,360.0,0.0,0.0,0.1,0.38,15.0,0.0,9.0
2021/3/1 17:00,1240,1004.9,1014.8,23.9,16.9,65.0,0.6,160.0,2.6,200.0,0.0,0.0,0.2,0.16,15.0,0.0,9.0
2021/3/2 06:00,102,1008.0,1018.1,20.2,17.2,83.0,3.4,360.0,6.2,320.0,0.0,0.0,0.0,0.02,15.0,0.0,9.0
2021/3/2 07:00,2749,1008.2,1018.3,19.2,15.3,78.0,2.8,10.0,8.3,360.0,0.0,0.0,0.0,0.39,15.0,0.0,9.0
2021/3/2 08:00,7375,1008.2,1018.3,19.2,14.0,72.0,2.7,360.0,8.5,350.0,0.0,0.0,0.3,1.11,15.0,2.0,8.0
2021/3/2 09:00,12434,1008.1,1018.2,20.2,13.7,66.0,3.2,350.0,9.2,340.0,0.0,0.0,0.7,1.71,15.0,4.0,0.0
2021/3/2 10:00,14784,1008.1,1018.2,21.2,13.7,62.0,3.8,360.0,8.3,360.0,0.0,0.0,1.0,2.55,15.0,6.0,0.0
2021/3/2 11:00,13788,1007.6,1017.7,20.1,12.6,62.0,4.4,360.0,11.9,30.0,0.0,0.0,0.7,2.55,18.0,6.0,1.0
2021/3/2 12:00,9647,1007.0,1017.0,21.8,12.9,57.0,2.6,10.0,9.0,330.0,0.0,0.0,0.2,1.88,18.0,5.0,1.0
2021/3/2 13:00,8908,1006.7,1016.7,21.5,12.1,55.0,4.5,360.0,9.8,340.0,0.0,0.0,1.0,2.82,18.0,7.0,1.0
2021/3/2 14:00,9975,1006.4,1016.4,21.8,12.4,55.0,2.2,350.0,8.1,320.0,0.0,0.0,0.9,2.14,15.0,4.0,0.0
2021/3/2 15:00,11240,1006.5,1016.6,19.5,11.8,61.0,3.6,350.0,9.8,320.0,0.0,0.0,1.0,1.49,15.0,2.0,0.0
2021/3/2 16:00,5595,1007.4,1017.6,17.9,11.5,66.0,3.9,360.0,10.2,340.0,0.0,0.0,1.0,0.77,15.0,1.0,0.0
2021/3/2 17:00,963,1008.2,1018.4,17.0,11.5,70.0,3.9,10.0,9.9,20.0,0.0,0.0,0.2,0.15,12.0,0.0,10.0
2021/3/3 06:00,1,1010.7,1021.0,16.2,11.6,74.0,0.8,40.0,3.1,360.0,0.0,0.0,0.0,0.01,12.0,0.0,10.0
2021/3/3 07:00,731,1011.1,1021.4,16.5,11.9,74.0,1.4,320.0,3.2,340.0,0.0,0.0,0.0,0.12,12.0,0.0,10.0
2021/3/3 08:00,3162,1010.9,1021.1,17.7,12.4,71.0,0.7,20.0,2.2,290.0,0.0,0.0,0.0,0.44,12.0,1.0,9.0
2021/3/3 09:00,7210,1011.0,1021.2,18.7,12.5,67.0,1.3,350.0,3.6,360.0,0.0,0.0,0.0,0.91,15.0,2.0,10.0
2021/3/3 10:00,7577,1010.5,1020.7,18.9,12.4,66.0,1.7,360.0,2.9,360.0,0.0,0.0,0.0,0.91,15.0,3.0,10.0
2021/3/3 11:00,3569,1010.2,1020.4,18.8,12.3,66.0,0.7,50.0,5.2,30.0,0.0,0.0,0.0,0.44,15.0,2.0,10.0
2021/3/3 12:00,3424,1009.5,1019.7,19.0,12.8,67.0,1.5,320.0,3.5,310.0,0.0,0.0,0.0,0.34,15.0,1.0,10.0
2021/3/3 13:00,3812,1008.8,1019.0,18.9,12.9,68.0,1.1,330.0,4.3,320.0,0.0,0.0,0.0,0.45,15.0,1.0,10.0
2021/3/3 14:00,5288,1008.6,1018.7,19.2,13.2,68.0,2.1,350.0,3.9,350.0,0.0,0.0,0.0,0.51,15.0,1.0,10.0
2021/3/3 15:00,4586,1008.4,1018.5,18.9,13.5,71.0,1.8,340.0,4.2,350.0,0.0,0.0,0.0,0.49,15.0,1.0,10.0
2021/3/3 16:00,1541,1008.6,1018.8,18.3,14.4,78.0,1.5,330.0,4.7,300.0,0.0,0.0,0.0,0.26,15.0,0.0,10.0
2021/3/3 17:00,958,1008.9,1019.1,17.7,14.6,82.0,2.2,360.0,5.8,340.0,0.0,0.0,0.0,0.15,6.0,0.0,7.0
2021/3/4 06:00,310,1009.5,1019.7,16.4,14.9,91.0,0.9,10.0,3.3,340.0,0.0,0.0,0.0,0.06,6.0,0.0,7.0
2021/3/4 07:00,3194,1010.3,1020.5,16.6,15.0,90.0,2.0,360.0,3.5,20.0,0.0,0.0,0.3,0.47,6.0,0.0,7.0
2021/3/4 08:00,7796,1010.5,1020.7,17.8,15.3,85.0,1.3,20.0,3.3,340.0,0.0,0.0,0.1,0.86,6.0,1.0,9.0
2021/3/4 09:00,14200,1010.2,1020.3,19.8,15.0,74.0,0.7,320.0,3.2,350.0,0.0,0.0,0.9,1.83,8.0,3.0,9.0
2021/3/4 10:00,11870,1009.7,1019.8,21.8,15.4,67.0,0.5,330.0,2.9,340.0,0.0,0.0,0.1,1.29,8.0,3.0,9.0
2021/3/4 11:00,19739,1008.2,1018.2,23.9,15.4,59.0,0.5,80.0,2.8,330.0,0.0,0.0,0.4,2.04,12.0,6.0,10.0
2021/3/4 12:00,18396,1007.4,1017.3,26.2,15.3,51.0,1.3,250.0,3.0,240.0,0.0,0.0,0.5,2.33,12.0,6.0,10.0
2021/3/4 13:00,10691,1007.2,1017.1,25.4,15.4,54.0,1.2,280.0,3.7,260.0,0.0,0.0,0.0,1.13,12.0,3.0,10.0
2021/3/4 14:00,2170,1008.1,1018.1,21.9,14.6,63.0,1.8,330.0,6.5,260.0,0.0,0.0,0.0,0.19,10.0,1.0,10.0
2021/3/4 15:00,1367,1008.0,1018.1,20.2,14.3,69.0,1.3,30.0,6.4,350.0,0.0,0.0,0.0,0.2,10.0,0.0,10.0
2021/3/4 16:00,811,1007.8,1017.9,20.6,15.2,71.0,0.3,20.0,3.7,10.0,0.0,0.0,0.0,0.11,10.0,0.0,10.0
2021/3/4 17:00,261,1008.1,1018.2,20.9,15.7,72.0,0.6,250.0,1.7,290.0,0.0,0.2,0.0,0.03,10.0,0.0,4.0
2021/3/5 06:00,255,1006.8,1016.9,18.7,17.2,91.0,0.3,90.0,1.5,260.0,0.0,0.0,0.0,0.05,10.0,0.0,4.0
2021/3/5 07:00,3041,1007.1,1017.2,19.9,17.3,85.0,0.6,140.0,1.6,160.0,0.0,0.0,0.2,0.46,10.0,0.0,4.0
2021/3/5 08:00,8196,1008.1,1018.2,21.4,18.4,83.0,0.8,200.0,3.1,190.0,0.0,0.0,0.6,1.06,8.0,1.0,9.0
2021/3/5 09:00,10175,1008.4,1018.4,22.8,18.4,76.0,0.7,210.0,2.3,180.0,0.0,0.0,0.2,1.2,15.0,3.0,9.0
2021/3/5 10:00,16360,1007.8,1017.8,24.2,16.7,63.0,1.2,190.0,3.7,170.0,0.0,0.0,0.2,1.82,15.0,5.0,9.0
